Symbol,Company Name,Industry,Market Cap
AXSM,"Axsome Therapeutics, Inc.",Biotechnology,3.49B
AXTA,Axalta Coating Systems Ltd.,Specialty Chemicals,7.94B
AXTI,"AXT, Inc.",Semiconductor Equipment & Materials,155.75M
AY,Atlantica Sustainable Infrastructure plc,Utilities - Renewable,2.70B
AYI,"Acuity Brands, Inc.",Electrical Equipment & Parts,8.13B
AYRO,"Ayro, Inc.",Auto Manufacturers,5.60M
AYTU,"Aytu BioPharma, Inc.",Drug Manufacturers - Specialty & Generic,17.98M
AZ,A2Z Smart Technologies Corp.,Aerospace & Defense,16.08M
AZEK,The AZEK Company Inc.,Building Products & Equipment,6.70B
AZN,AstraZeneca PLC,Drug Manufacturers - General,240.33B
AZO,"AutoZone, Inc.",Specialty Retail,51.84B
AZPN,"Aspen Technology, Inc.",Software - Application,13.21B
AZTA,"Azenta, Inc.",Medical Instruments & Supplies,2.86B
AZTR,"Azitra, Inc.",Biotechnology,6.26M
AZUL,Azul S.A.,Airlines,782.04M
AZZ,AZZ Inc.,Specialty Business Services,2.30B
B,Barnes Group Inc.,Specialty Industrial Machinery,1.94B
BA,The Boeing Company,Aerospace & Defense,109.62B
BABA,Alibaba Group Holding Limited,Internet Retail,191.32B
BAC,Bank of America Corporation,Banks - Diversified,300.11B
BACA,Berenson Acquisition Corp. I,Shell Companies,82.85M
BACK,"IMAC Holdings, Inc.",Medical Care Facilities,4.16M
BAER,"Bridger Aerospace Group Holdings, Inc.",Security & Protection Services,205.71M
BAFN,BayFirst Financial Corp.,Banks - Regional,52.97M
BAH,Booz Allen Hamilton Holding Corporation,Consulting Services,20.11B
BAK,Braskem S.A.,Chemicals,3.07B
BALL,Ball Corporation,Packaging & Containers,21.68B
BALY,Bally's Corporation,Resorts & Casinos,516.99M
BAM,Brookfield Asset Management Inc.,Asset Management,15.49B
BANC,"Banc of California, Inc.",Banks - Regional,2.52B
BAND,Bandwidth Inc.,Software - Infrastructure,581.62M
BANF,BancFirst Corporation,Banks - Regional,2.97B
BANL,CBL International Limited,Oil & Gas Midstream,22.31M
BANR,Banner Corporation,Banks - Regional,1.59B
BANX,ArrowMark Financial Corp.,Asset Management,131.54M
BAOS,Baosheng Media Group Holdings Limited,Advertising Agencies,4.96M
BAP,Credicorp Ltd.,Banks - Regional,13.86B
BARK,"BARK, Inc.",Specialty Retail,209.07M
BASE,"Couchbase, Inc.",Software - Infrastructure,1.31B
BATL,Battalion Oil Corporation,Oil & Gas Exploration & Production,92.16M
BATRA,Atlanta Braves Holdings Inc,Entertainment,2.38B
BATRK,Atlanta Braves Holdings Inc,Entertainment,2.39B
BAX,Baxter International Inc.,Medical Instruments & Supplies,18.17B
BAYA,Bayview Acquisition Corp,Shell Companies,78.72M
BB,BlackBerry Limited,Software - Infrastructure,1.73B
BBAI,"BigBear.ai Holdings, Inc.",Information Technology Services,343.74M
BBAR,BBVA Argentina,Banks - Regional,2.62B
BBCP,"Concrete Pumping Holdings, Inc.",Engineering & Construction,366.87M
BBD,Banco Bradesco S.A.,Banks - Regional,26.04B
BBDC,"Barings BDC, Inc.",Asset Management,1.03B
BBDO,Banco Bradesco S.A.,Banks - Regional,25.90B
BBGI,"Beasley Broadcast Group, Inc.",Broadcasting,21.79M
BBIO,"BridgeBio Pharma, Inc.",Biotechnology,5.27B
BBLG,Bone Biologics Corporation,Medical Devices,1.62M
BBSI,"Barrett Business Services, Inc.",Staffing & Employment Services,822.44M
BBU,Brookfield Business Partners L.P.,Conglomerates,1.46B
BBUC,Brookfield Business Corporation,Asset Management,1.56B
BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",Banks - Diversified,60.64B
BBW,"Build-A-Bear Workshop, Inc.",Specialty Retail,401.23M
BBWI,"Bath & Body Works, Inc.",Specialty Retail,10.75B
BBY,"Best Buy Co., Inc.",Specialty Retail,15.97B
BC,Brunswick Corporation,Recreational Vehicles,5.58B
BCAB,"BioAtla, Inc.",Biotechnology,130.37M
BCAL,Southern California Bancorp,Banks - Regional,258.27M
BCAN,BYND Cannasoft Enterprises Inc.,Software - Infrastructure,6.80M
BCBP,"BCB Bancorp, Inc.",Banks - Regional,177.71M
BCC,Boise Cascade Company,Building Materials,5.25B
BCDA,"BioCardia, Inc.",Biotechnology,10.83M
BCE,BCE Inc.,Telecom Services,30.88B
BCG,"Binah Capital Group, Inc.",Asset Management,48.75M
BCH,Banco de Chile,Banks - Regional,11.74B
BCLI,Brainstorm Cell Therapeutics Inc.,Biotechnology,30.88M
BCML,BayCom Corp,Banks - Regional,231.12M
BCO,The Brink's Company,Security & Protection Services,4.30B
BCOV,Brightcove Inc.,Software - Application,81.29M
BCOW,"1895 Bancorp of Wisconsin, Inc.",Banks - Regional,43.68M
BCPC,Balchem Corporation,Specialty Chemicals,5.01B
BCRX,"BioCryst Pharmaceuticals, Inc.",Biotechnology,1.09B
BCS,Barclays PLC,Banks - Diversified,40.47B
BCSA,Blockchain Coinvestors Acquisition Corp. I,Shell Companies,150.19M
BCSF,"Bain Capital Specialty Finance, Inc.",Asset Management,1.08B
BCTX,BriaCell Therapeutics Corp.,Biotechnology,36.28M
BCYC,Bicycle Therapeutics plc,Biotechnology,975.86M
BDC,Belden Inc.,Communication Equipment,3.73B
BDL,"Flanigan's Enterprises, Inc.",Restaurants,50.18M
BDN,Brandywine Realty Trust,REIT - Office,803.64M
BDRX,Biodexa Pharmaceuticals Plc,Biotechnology,230.58K
BDSX,"Biodesix, Inc.",Diagnostics & Research,171.46M
BDTX,"Black Diamond Therapeutics, Inc.",Biotechnology,328.31M
BDX,"Becton, Dickinson and Company",Medical Instruments & Supplies,67.83B
BE,Bloom Energy Corporation,Electrical Equipment & Parts,2.60B
BEAM,Beam Therapeutics Inc.,Biotechnology,1.77B
BEAT,"HeartBeam, Inc.",Health Information Services,52.65M
BECN,"Beacon Roofing Supply, Inc.",Industrial Distribution,5.88B
BEDU,Bright Scholar Education Holdings Limited,Education & Training Services,56.49M
BEEM,Beam Global,Solar,89.19M
BEEP,Mobile Infrastructure Corporation,Infrastructure Operations,112.41M
BEKE,KE Holdings Inc.,Real Estate Services,20.15B
BELFA,Bel Fuse Inc.,Electronic Components,813.30M
BELFB,Bel Fuse Inc.,Electronic Components,808.11M
BEN,"Franklin Resources, Inc.",Asset Management,12.46B
BENF,Beneficient,Asset Management,1.75B
BEP,Brookfield Renewable Partners L.P.,Utilities - Renewable,8.08B
BEPC,Brookfield Renewable Corporation,Utilities - Renewable,5.62B
BERY,"Berry Global Group, Inc.",Packaging & Containers,6.92B
BEST,BEST Inc.,Trucking,41.35M
BETR,Better Home & Finance Holding Company,Mortgage Finance,319.76M
BF.A,Brown-Forman Corporation,Beverages - Wineries & Distilleries,23.16B
BF.B,Brown-Forman Corporation,Beverages - Wineries & Distilleries,23.16B
BFAC,Battery Future Acquisition Corp.,Shell Companies,223.49M
BFAM,Bright Horizons Family Solutions Inc.,Personal Services,6.49B
BFC,Bank First Corporation,Banks - Regional,840.14M
BFH,"Bread Financial Holdings, Inc.",Credit Services,1.99B
